"ingresos","altura","genero","ed","edad","raza"
50000,74.4244387818035,"masculino",16,45,"blanca"
60000,65.5375428255647,"femenino",16,58,"blanca"
30000,63.6291977374349,"femenino",16,29,"blanca"
50000,63.1085616752971,"femenino",16,91,"otra"
51000,63.4024835710879,"femenino",17,39,"blanca"
9000,64.3995075440034,"femenino",15,26,"blanca"
29000,61.6563258264214,"femenino",12,49,"blanca"
32000,72.6985437364783,"masculino",17,46,"blanca"
2000,72.0394668497611,"masculino",15,21,"hispanica"
27000,72.2349325611722,"masculino",12,26,"blanca"
6530,69.5121464275289,"masculino",16,65,"blanca"
30000,68.0316082600038,"masculino",11,34,"blanca"
12000,67.556933917338,"masculino",12,27,"blanca"
12000,65.4305870763492,"femenino",12,51,"blanca"
22000,65.6628545243293,"femenino",16,35,"blanca"
17000,67.7587687384803,"masculino",12,58,"blanca"
40000,68.3518425801303,"femenino",14,29,"blanca"
44000,69.6095718003344,"masculino",13,44,"blanca"
7000,64.1845656777732,"femenino",12,55,"negra"
53000,73.0746091497131,"masculino",13,35,"negra"
5000,62.3755270198453,"femenino",13,51,"blanca"
14000,63.0239301056135,"femenino",14,21,"blanca"
5500,67.2299039133359,"masculino",14,22,"blanca"
40000,65.551107801497,"femenino",12,41,"blanca"
34000,72.0796453857329,"masculino",12,45,"blanca"
10000,63.0911300827283,"femenino",12,35,"negra"
27000,64.3235489164945,"femenino",16,60,"blanca"
50000,71.6428528276738,"masculino",16,38,"blanca"
41000,76.7930946839042,"masculino",16,33,"blanca"
15000,63.8939143288881,"femenino",14,25,"blanca"
25000,63.8026230719406,"femenino",12,33,"blanca"
75000,71.5922314410564,"masculino",17,39,"blanca"
27000,67.5219634829555,"masculino",17,31,"blanca"
12000,64.3943514756393,"femenino",12,26,"blanca"
7500,61.1782226648647,"femenino",14,78,"blanca"
30000,66.9838783009909,"femenino",14,31,"negra"
21000,65.3164557656273,"femenino",12,57,"blanca"
27000,63.5741851450875,"femenino",14,26,"blanca"
3000,66.6110004822258,"femenino",15,65,"blanca"
25000,64.9117550808005,"femenino",12,30,"blanca"
24000,64.7896799838636,"femenino",12,41,"blanca"
32000,66.937690645922,"femenino",18,29,"blanca"
10000,68.1728129491676,"femenino",17,30,"blanca"
11000,60.4506599237211,"femenino",12,21,"hispanica"
18700,64.7932535589207,"femenino",13,32,"blanca"
20000,61.8149190000258,"femenino",12,29,"blanca"
3500,71.5721453060396,"masculino",10,18,"blanca"
13000,67.3144058254547,"masculino",8,56,"negra"
25000,69.8998733619228,"masculino",12,65,"blanca"
21000,69.7617020171601,"masculino",17,41,"blanca"
34000,67.7464710318018,"femenino",17,49,"blanca"
6000,60.190221529454,"femenino",12,65,"blanca"
17000,71.0064998776652,"masculino",12,28,"blanca"
35000,71.1667981331702,"masculino",12,32,"blanca"
4000,72.7356298717204,"masculino",13,18,"blanca"
14000,68.1382231093012,"femenino",14,55,"blanca"
10000,66.3798112401273,"femenino",12,57,"blanca"
25000,69.2327845250256,"masculino",16,29,"blanca"
16000,63.2739377985708,"femenino",14,27,"blanca"
16000,61.8277627213392,"masculino",14,28,"hispanica"
16500,64.2212092091795,"femenino",14,43,"blanca"
4000,63.841265113093,"femenino",9,68,"blanca"
3840,66.9747701257002,"femenino",9,52,"blanca"
22000,71.451489093015,"masculino",12,39,"blanca"
200,59.6126462582033,"femenino",16,53,"blanca"
26000,65.7993855320383,"femenino",16,27,"blanca"
2500,66.4580405310262,"femenino",15,21,"blanca"
17000,64.60288038617,"femenino",14,39,"blanca"
8000,70.4404814683367,"femenino",13,22,"blanca"
12000,65.922813506797,"femenino",13,68,"blanca"
10000,61.8568268497474,"femenino",12,47,"blanca"
10000,65.7844401644543,"femenino",15,67,"blanca"
15000,71.8312798414845,"masculino",12,39,"blanca"
2400,67.0453292939346,"femenino",8,39,"hispanica"
30000,68.3055060780607,"masculino",12,32,"hispanica"
30000,70.0254597608,"masculino",12,33,"blanca"
10000,61.810385880759,"femenino",12,38,"blanca"
5000,62.9510710034519,"femenino",13,26,"blanca"
12000,65.8211369581986,"femenino",13,63,"blanca"
20000,70.3975481863599,"femenino",10,61,"blanca"
20000,68.3777844423894,"femenino",12,36,"blanca"
20000,69.9326998807956,"masculino",14,23,"blanca"
1200,66.1718059259001,"femenino",12,20,"blanca"
700,68.4563631031197,"femenino",16,32,"blanca"
20000,69.9038575142622,"masculino",16,27,"blanca"
10000,61.1496579824015,"femenino",12,22,"hispanica"
30000,63.3633463280275,"femenino",12,73,"blanca"
40000,64.1470837995876,"femenino",14,56,"blanca"
25000,67.3183904122561,"masculino",12,89,"blanca"
10000,60.6749360549729,"femenino",17,79,"blanca"
60000,68.840902544558,"femenino",18,63,"blanca"
18000,67.6827305052429,"femenino",12,66,"blanca"
16040,64.4967685842421,"femenino",12,33,"blanca"
15000,66.8124041855335,"femenino",14,30,"negra"
10000,68.7464377458673,"masculino",17,23,"blanca"
33000,67.0676490592305,"femenino",13,43,"blanca"
18000,68.1379930116236,"femenino",12,30,"blanca"
15000,63.3428967916407,"femenino",12,37,"blanca"
21000,71.3866663060617,"masculino",12,22,"blanca"
21000,63.9883370213211,"femenino",17,43,"negra"
37000,68.4863865228835,"masculino",11,37,"blanca"
38000,67.5161435012706,"femenino",17,44,"blanca"
17000,65.6008437511045,"femenino",14,43,"hispanica"
32000,76.800193942152,"masculino",16,30,"blanca"
27500,67.1053807893768,"femenino",12,58,"blanca"
16500,62.1516434333753,"femenino",12,44,"blanca"
25000,66.8676242611837,"femenino",18,35,"blanca"
27000,61.0422025278676,"femenino",18,43,"blanca"
5000,64.1232857718132,"femenino",12,28,"blanca"
70000,61.5448151710443,"femenino",16,38,"blanca"
5000,62.5562363923527,"femenino",12,40,"blanca"
5000,68.1637655736413,"masculino",16,24,"blanca"
20000,63.6551274901722,"femenino",15,26,"blanca"
4000,72.373517293483,"masculino",15,21,"blanca"
60000,64.1470823881682,"femenino",16,35,"blanca"
5000,61.3266997484025,"femenino",13,31,"blanca"
30000,74.3663964397274,"masculino",12,38,"blanca"
70000,70.2101620207541,"masculino",14,35,"blanca"
50000,71.106188031612,"masculino",16,41,"blanca"
44000,62.594844043022,"femenino",12,39,"blanca"
30000,64.0549647742882,"femenino",14,43,"blanca"
10000,61.573618854396,"femenino",16,40,"blanca"
23000,70.4801993905567,"femenino",17,42,"blanca"
45000,71.1859069743659,"masculino",17,62,"blanca"
15000,71.4336384225171,"masculino",14,31,"blanca"
4000,70.2288485858589,"femenino",14,71,"blanca"
17000,67.2808580445126,"masculino",14,31,"blanca"
30000,63.7586912042461,"femenino",12,32,"blanca"
27500,67.0865156073123,"femenino",12,30,"blanca"
5688,61.679597878363,"femenino",8,69,"blanca"
18000,62.285998323001,"femenino",13,56,"hispanica"
43000,68.2924768726807,"masculino",13,44,"negra"
32000,61.5894825500436,"femenino",14,44,"negra"
10000,68.4177351850085,"femenino",18,56,"negra"
60000,73.9912551299203,"masculino",13,45,"blanca"
21000,67.5610723162536,"femenino",12,50,"otra"
2400,62.3379296525382,"femenino",16,22,"blanca"
1000,66.2400088959839,"femenino",15,28,"blanca"
27000,68.0984727463219,"masculino",12,27,"blanca"
6600,59.7708697339986,"femenino",14,28,"hispanica"
16000,68.0633805643301,"masculino",8,43,"blanca"
90000,71.6801480520517,"masculino",12,26,"blanca"
8000,66.3597083494533,"femenino",12,42,"blanca"
20000,68.3562582309823,"masculino",10,32,"blanca"
15000,68.4565424812026,"femenino",12,18,"blanca"
12000,68.7861042914446,"femenino",12,60,"blanca"
24000,64.1022426583804,"femenino",16,46,"blanca"
20000,65.1134854783304,"femenino",14,39,"blanca"
19000,60.6491858377121,"femenino",12,46,"blanca"
10000,72.1257029925473,"masculino",12,49,"blanca"
40000,65.5107300695963,"femenino",16,34,"blanca"
25000,67.931898314273,"masculino",14,64,"blanca"
25000,70.4449232395273,"masculino",12,24,"blanca"
25000,71.3658544581849,"masculino",14,32,"blanca"
19000,71.1250733132474,"masculino",16,61,"blanca"
44000,68.1601368142292,"masculino",16,48,"blanca"
15000,60.1133276864421,"femenino",14,49,"blanca"
17000,62.7881975469645,"femenino",12,36,"blanca"
24000,68.0777218828443,"masculino",12,56,"blanca"
23000,64.0508421198465,"femenino",12,37,"blanca"
13000,69.7157963842619,"masculino",12,74,"blanca"
65000,68.2206725352444,"masculino",16,46,"blanca"
7000,60.8838594953995,"femenino",12,63,"blanca"
40000,68.4075396999251,"masculino",18,63,"blanca"
15000,66.0019799831789,"femenino",17,43,"blanca"
20000,69.7978899071459,"masculino",16,25,"blanca"
20000,71.0107113404665,"masculino",12,50,"blanca"
20000,65.1424107500352,"femenino",12,42,"blanca"
25000,65.9671088184696,"femenino",12,49,"blanca"
49000,69.9905325989239,"masculino",13,37,"blanca"
25000,61.8766771967057,"femenino",12,65,"blanca"
11000,66.1088806597982,"femenino",14,57,"blanca"
16000,61.054305461701,"femenino",15,38,"blanca"
35000,71.5635653017089,"masculino",14,43,"blanca"
125000,74.3406224281061,"masculino",18,45,"blanca"
23000,66.5769884118345,"femenino",12,47,"blanca"
17000,66.1104431450367,"femenino",16,28,"blanca"
27000,61.9656850092579,"femenino",12,41,"blanca"
70000,71.7455116605852,"masculino",14,32,"blanca"
35000,64.5622197962366,"femenino",15,47,"blanca"
10000,60.1988203886431,"femenino",12,62,"blanca"
35000,61.9163728298154,"femenino",15,39,"blanca"
15000,66.4135520232376,"femenino",12,38,"blanca"
12000,63.6985211905558,"femenino",12,39,"blanca"
8000,71.2909144631121,"masculino",12,68,"blanca"
8000,65.2537561147474,"femenino",12,50,"blanca"
35000,73.0054612359963,"masculino",18,50,"blanca"
45000,68.6400743776467,"masculino",11,51,"blanca"
15000,64.3814524675254,"femenino",14,22,"blanca"
15000,61.060264130123,"femenino",12,77,"blanca"
24000,66.7893646617886,"femenino",18,51,"blanca"
25000,61.8292980391998,"femenino",13,32,"blanca"
25000,62.6095600808039,"femenino",14,54,"negra"
20000,67.3646558583714,"masculino",10,28,"otra"
24000,68.0169713827781,"femenino",12,24,"blanca"
44000,72.0641469496768,"masculino",16,46,"blanca"
69000,70.1086239435244,"masculino",12,38,"blanca"
62000,69.8524850972462,"masculino",18,44,"blanca"
32000,67.4552509614732,"masculino",14,32,"negra"
20000,63.4531285660341,"femenino",12,33,"negra"
32000,66.2929654479958,"femenino",18,35,"otra"
25000,65.8347965243738,"femenino",17,50,"blanca"
170000,71.0100344805978,"masculino",18,45,"blanca"
35000,66.6194241039921,"masculino",16,33,"blanca"
40000,75.5685887699947,"masculino",16,38,"negra"
33000,68.9521992248483,"masculino",14,30,"blanca"
18000,65.3487340502907,"femenino",12,22,"blanca"
30000,61.7521165187936,"femenino",13,43,"blanca"
26000,61.7641323632561,"femenino",12,31,"blanca"
5000,62.4114694842137,"femenino",12,21,"blanca"
20000,61.9043291150592,"femenino",16,73,"blanca"
17000,60.6386099145748,"femenino",12,30,"blanca"
32000,64.8245771916118,"femenino",14,28,"blanca"
15000,72.2707532981876,"masculino",14,22,"blanca"
50000,71.6722751564812,"masculino",14,55,"blanca"
8000,63.7709283335134,"femenino",12,39,"blanca"
40000,70.7865930511616,"masculino",14,51,"blanca"
40000,72.4097947853152,"masculino",15,41,"blanca"
32750,66.0879790608305,"masculino",12,34,"blanca"
20000,64.9993283268996,"femenino",14,69,"blanca"
36000,64.5292996137869,"femenino",15,39,"negra"
6000,61.7426805158611,"femenino",12,64,"blanca"
12000,65.8403102068696,"femenino",14,34,"negra"
60000,67.3996410432737,"masculino",14,63,"blanca"
40000,64.0222736096475,"femenino",13,44,"blanca"
43000,63.2261417340487,"femenino",12,38,"blanca"
45000,67.4942982199136,"femenino",16,34,"blanca"
6000,68.0021204266232,"femenino",18,39,"blanca"
8000,63.8579060945194,"femenino",10,82,"otra"
20000,64.3950642363634,"femenino",13,39,"negra"
17000,66.4390075663105,"masculino",12,23,"negra"
2000,64.7653775643557,"femenino",12,32,"blanca"
65000,64.5385617208667,"masculino",12,28,"blanca"
50000,71.5859264181927,"masculino",12,41,"blanca"
11000,68.3482216782868,"femenino",12,38,"blanca"
35000,74.4332039365545,"masculino",18,30,"blanca"
27000,63.2176964336541,"masculino",12,33,"blanca"
3500,64.3143166177906,"femenino",12,61,"blanca"
42000,68.151459841989,"masculino",12,37,"blanca"
20000,67.4949548291042,"femenino",18,29,"blanca"
15000,67.3161722151563,"femenino",12,29,"blanca"
10000,72.9867232539691,"masculino",12,21,"blanca"
6000,70.4911553743295,"masculino",8,78,"blanca"
17000,64.8857527959626,"femenino",16,23,"hispanica"
35000,68.5404915455729,"masculino",16,65,"hispanica"
28000,76.6806674997788,"masculino",14,28,"blanca"
15000,67.6939624159131,"femenino",12,33,"blanca"
20000,61.971335722832,"femenino",17,24,"blanca"
20000,64.2127027346287,"femenino",12,29,"blanca"
10500,67.2224749971647,"masculino",12,42,"hispanica"
13000,69.9021423184313,"masculino",16,22,"blanca"
10000,61.7774477005005,"femenino",12,52,"blanca"
3000,63.0813513626345,"femenino",12,37,"blanca"
24000,62.3348689735867,"femenino",14,29,"blanca"
17000,68.695835353341,"femenino",13,35,"blanca"
11000,64.0980117693543,"femenino",12,48,"blanca"
32000,69.0340046833735,"femenino",14,40,"blanca"
17000,58.6603171806782,"femenino",15,26,"blanca"
3000,66.2262486482505,"femenino",12,35,"otra"
2100,62.0912556687836,"femenino",12,21,"negra"
3192,75.1384511068463,"masculino",11,34,"negra"
17000,63.3142780221533,"femenino",17,26,"blanca"
30000,64.5540995923802,"femenino",13,28,"blanca"
15000,69.800360027235,"masculino",12,32,"blanca"
24000,67.84324762295,"femenino",16,42,"blanca"
10000,64.9500718824565,"femenino",14,67,"blanca"
50000,69.2183067407459,"masculino",8,53,"blanca"
50000,71.886122808326,"masculino",16,53,"blanca"
20000,63.5242558056489,"femenino",17,49,"blanca"
30000,62.6785580585711,"femenino",18,54,"hispanica"
22000,73.4739420006517,"femenino",14,45,"blanca"
27000,75.094072466949,"masculino",12,24,"blanca"
4000,64.7730634394102,"femenino",12,38,"blanca"
17500,66.2535254813265,"femenino",17,26,"blanca"
16500,66.393509085523,"femenino",14,28,"blanca"
28000,64.0032911614981,"femenino",16,39,"blanca"
52000,65.5739420785103,"femenino",18,50,"blanca"
15000,64.2761644755956,"femenino",16,29,"blanca"
19000,62.6466598398983,"femenino",13,32,"blanca"
27000,72.5597363815177,"masculino",12,23,"blanca"
15000,71.78231296991,"masculino",8,58,"blanca"
15000,71.5038585960865,"masculino",14,33,"blanca"
14500,64.1577520996798,"femenino",12,55,"blanca"
24000,64.2276872433722,"femenino",13,30,"blanca"
18000,67.7979812340345,"masculino",15,36,"blanca"
4000,62.2789568556473,"femenino",12,68,"blanca"
4000,68.5040957068559,"femenino",13,57,"blanca"
700,60.1126800563652,"femenino",12,36,"blanca"
24000,64.9793261792511,"femenino",12,91,"blanca"
27000,75.9695086975116,"masculino",12,39,"blanca"
12000,72.3279016197193,"femenino",12,35,"blanca"
22000,61.7656505128834,"femenino",18,47,"blanca"
30000,61.616401045816,"femenino",13,36,"blanca"
35000,70.5540779826697,"masculino",12,61,"blanca"
20000,74.0811951081268,"masculino",12,42,"blanca"
32000,65.4724173236173,"femenino",16,32,"blanca"
6000,63.3653120438103,"femenino",12,31,"otra"
12000,66.850004237378,"femenino",12,39,"blanca"
10000,63.266094219638,"femenino",12,31,"blanca"
1000,64.7455061294604,"femenino",12,18,"blanca"
12000,63.5420606976841,"femenino",15,71,"blanca"
16000,64.923110146774,"femenino",12,36,"blanca"
25000,63.2420073475223,"femenino",16,33,"blanca"
25000,69.5245613094885,"femenino",12,27,"blanca"
32000,67.978094201535,"masculino",12,30,"blanca"
35000,66.5487370933406,"masculino",14,43,"blanca"
6000,64.5887038160581,"femenino",12,28,"blanca"
80000,68.7666858944576,"masculino",14,44,"blanca"
20000,68.0838865153491,"femenino",14,25,"blanca"
1000,65.8159135163296,"femenino",17,38,"blanca"
28000,71.4023760727141,"masculino",13,38,"hispanica"
26000,63.7635378786363,"masculino",16,23,"hispanica"
27000,73.5253833052702,"masculino",12,24,"blanca"
18000,61.9799861009233,"femenino",13,41,"blanca"
2000,65.2105206253473,"femenino",12,59,"blanca"
20000,69.3754682533909,"masculino",12,66,"blanca"
6000,66.0865610856563,"femenino",16,48,"blanca"
25000,66.5254419732373,"masculino",11,63,"blanca"
12000,73.172164720716,"masculino",12,29,"blanca"
12000,76.1848799777217,"masculino",12,57,"blanca"
30000,69.52562967618,"masculino",14,76,"blanca"
4000,62.8757120200898,"femenino",15,22,"negra"
26000,62.7829133416526,"femenino",13,37,"negra"
23000,70.0759173012339,"masculino",12,35,"negra"
21000,71.0630765829701,"masculino",12,33,"blanca"
25000,65.2233837384265,"femenino",12,62,"blanca"
18000,70.380001677433,"masculino",16,75,"blanca"
4000,63.2472531853709,"femenino",13,44,"blanca"
23900,63.9208743951749,"femenino",12,22,"blanca"
35000,64.3294822513126,"femenino",18,40,"blanca"
26000,66.7303861079272,"masculino",14,30,"blanca"
25000,66.4904937171377,"masculino",16,36,"blanca"
23500,68.0189107442275,"femenino",13,27,"blanca"
12000,65.2252151621506,"femenino",12,22,"blanca"
15000,67.1242454897147,"femenino",12,20,"blanca"
3000,72.9358785133809,"masculino",17,23,"blanca"
6000,63.5796080143191,"femenino",12,67,"blanca"
14000,71.4477206908632,"masculino",12,69,"blanca"
15000,63.2831403270829,"femenino",16,31,"blanca"
175000,70.5895530292764,"masculino",16,48,"blanca"
1000,73.3709618267603,"masculino",18,25,"blanca"
10000,64.6888873104472,"femenino",14,63,"blanca"
45000,65.9230939771514,"masculino",13,82,"blanca"
15000,65.8483173938002,"femenino",12,81,"blanca"
20000,59.2028727594297,"femenino",13,41,"blanca"
35000,69.9901221392211,"masculino",16,30,"blanca"
40000,71.6656442810781,"masculino",16,28,"blanca"
35000,64.2018263619393,"femenino",12,72,"blanca"
50000,66.0645482349209,"femenino",16,54,"blanca"
1e+05,69.666884485865,"masculino",18,57,"blanca"
35000,68.5631622702349,"masculino",13,28,"blanca"
24000,67.7206132565625,"femenino",12,35,"blanca"
35000,73.8310985965654,"masculino",17,43,"blanca"
38000,72.5387801670004,"masculino",16,74,"blanca"
30000,67.2427707039751,"masculino",12,52,"blanca"
5000,63.9862840443384,"femenino",12,39,"hispanica"
148000,66.7401951407082,"masculino",18,38,"blanca"
30000,69.7732867500745,"masculino",12,32,"blanca"
6500,63.7568557977211,"femenino",15,31,"blanca"
3000,61.5594788861927,"femenino",16,37,"blanca"
23000,69.297169964062,"masculino",18,69,"blanca"
40000,68.4782089444343,"masculino",17,41,"blanca"
30000,72.1103680625092,"masculino",14,39,"blanca"
14000,63.1064126959536,"femenino",12,37,"blanca"
15000,68.7166826908942,"femenino",12,34,"blanca"
26000,64.0063688480295,"femenino",18,36,"blanca"
8000,71.0096353541594,"femenino",12,25,"blanca"
24000,63.8440190635156,"femenino",16,27,"negra"
5124,66.1007056040689,"masculino",8,67,"blanca"
10000,60.9749902039766,"femenino",15,25,"blanca"
12000,67.7550969959702,"femenino",16,32,"blanca"
50000,68.4583113705739,"masculino",17,34,"blanca"
23000,63.803803373361,"femenino",13,26,"blanca"
40000,65.7088905379642,"masculino",14,34,"negra"
6000,61.9315833549481,"femenino",13,26,"negra"
5000,65.322573767975,"femenino",16,30,"negra"
110000,65.9650380758103,"masculino",18,37,"blanca"
41000,72.0423596692272,"masculino",13,32,"hispanica"
23000,62.5702349038329,"femenino",13,78,"blanca"
21000,70.4314103806391,"masculino",12,23,"blanca"
4000,62.3213060542475,"femenino",12,29,"blanca"
25000,70.7082402152009,"masculino",12,36,"blanca"
30000,70.2775476609822,"masculino",18,46,"blanca"
14000,63.870679016225,"femenino",11,51,"blanca"
6000,63.477538905805,"femenino",12,35,"blanca"
14000,64.5934795753565,"femenino",12,46,"blanca"
43000,70.5134376552887,"masculino",12,27,"blanca"
25000,61.7005197918043,"femenino",15,33,"blanca"
40000,72.5534277544357,"masculino",12,66,"blanca"
65000,67.5873064631596,"masculino",17,40,"blanca"
16000,76.1518660350703,"masculino",15,32,"blanca"
8000,65.5777450613678,"femenino",12,71,"blanca"
20000,64.2291150880046,"femenino",15,39,"blanca"
14000,60.3136781475041,"femenino",14,72,"blanca"
45000,68.1374666159973,"masculino",12,74,"blanca"
8000,60.9448711504228,"femenino",11,72,"blanca"
